Tweets,Sentiment Score,Sentiment Magnitude
"Llevamos 40 años esperando que se fortalezca el sector de la #EconomíaSolidaria, hoy estamos cerca de hacerlo realidad. ",0.200000003,0.200000003
"El PND 2018-2022 estableció como mandato a cargo del Gobierno Nacional, formular e implementar la Política Pública Integral Estatal de la Economía Solidaria. ",0.300000012,0.300000012
"Condenamos el atentado perpetrado contra el helicóptero del Presidente @IvanDuque en el que viajaban los ministros de Defensa @Diego_Molano y del Interior @DanielPalam, que representa un grave ataque contra la institucionalidad. ",-0.200000003,0.200000003
"Poner trampas mortales a ciudadanos, no es protesta, es un crimen y así tendrá que ser juzgado. ",-0.100000001,0.100000001
Nuestras ciudades no pueden ser fortín del vandalismo. ,-0.100000001,0.100000001
"Solidaridad con la familia de Camilo y respaldo a Fuerza Pública y a la justicia para desmantelar, bajo la ley, redes criminales. ",0.200000003,0.200000003
"Hasta $100 millones de recompensa se ofrecen por información que permita la captura de los responsables del asesinato de 3 policías en Pailitas #Cesar, quienes anoche departían con sus familias en un establecimiento público. ",0.300000012,0.300000012
Se conformó grupo especial para investigar este hecho. ,0.300000012,0.300000012
Condenamos firmemente ataque al helicóptero que transportaba al Presidente @IvanDuque y varios miembros del gobierno nacional y local. ,0,0
Enviamos nuestra solidaridad con los colombianos por estos hechos de violencia contrarios a la construcción de paz 🇨🇴🕊. ,0.400000006,0.400000006
Desde Ecuador condenamos categóricamente el atentado contra el Presidente de Colombia @IvanDuque y sus ministros. ,0,0
"La @CancilleriaEc expresa su solidaridad y hace votos porque la paz, la democracia y la reconciliación marquen el camino del pueblo colombiano. ",0.300000012,0.300000012
"Nuestra profunda condena al ataque al helicóptero del presidente @ivanduque, en el que también viajaban el gobernador de #Santander @SilvanoSerranoG y los ministros @DanielPalam y @Diego_Molano. ",0,0
Toda nuestra solidaridad 🇮🇪 con el gobierno y pueblo colombianos. ,0.600000024,0.600000024
¡No a la violencia!. ,0.100000001,0.100000001
"Esta tarde recibimos un nuevo lote de 1'900.000 dosis de Sinovac, de las cuales 400 mil son para que el sector privado inicie vacunación gratuita bajo parámetros establecidos por @MinSaludCol, y los 1,5 millones restantes para continuar con nuestro Plan Nacional de Vacunación. ",0.200000003,0.200000003
Condenamos rotundamente atentado contra Presidente @IvanDuque y Ministros de Defensa e Interior. ,0.100000001,0.100000001
"No es sólo un ataque al gobierno de #Colombia, tb a las instituciones democráticas del país. ",0,0
Solidaridad con Pdte Duque y el pueblo colombiano. ,0.300000012,0.300000012
Los responsables deben rendir cuentas. ,0,0
"En nombre del pueblo y del Gobierno de Guatemala, me solidarizo con el presidente de Colombia, @IvanDuque, ante el cobarde atentado ocurrido este día. ",0.100000001,0.100000001
"El mensaje es muy claro: el Gobierno del Presidente @IvanDuque defenderá siempre la protesta legítima, así como el libre acceso a medicamentos y alimentos. ",0.200000003,0.200000003
"¡Una cosa es el derecho a manifestarse, y otra -muy distinta- bloquear y atentar contra infraestructura, vida e integridad!. ",0,0
Agradezco a @allamand 🇨🇱 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Condeno firmemente el atentado contra el helicóptero en el que viajaba el presidente @IvanDuque y su comitiva. ,0,0
Mi total solidaridad con el gobierno y el pueblo de Colombia. ,0.600000024,0.600000024
Agradezco a @PedroBroloGT 🇬🇹 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"El camino es el diálogo constructivo, que permita llegar a consensos justos y equitativos para todos los ciudadanos. ",0.600000024,0.600000024
"Insistimos, sin titubear, en la seriedad del Estado, la solidez de nuestra democracia y el respaldo irrestricto a nuestras instituciones. ",0.300000012,0.300000012
Agradecemos a @MinexGt 🇬🇹 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"Chile condena atentado contra el Presidente de Colombia, Iván Duque, y contra los ministros de Interior y Defensa de ese país. ",0,0
Agradecemos a @USEmbassyBogota su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.600000024,0.600000024
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"Condenamos categóricamente atentado al helicóptero donde se transportaban el Presidente @IvanDuque, dos de sus ministros y @GoberNorte de Sardinata a #Cúcuta en Norte de Santander. ",0.100000001,0.100000001
Llamamos a investigar los hechos y establecer responsabilidades. ,0.200000003,0.200000003
#NoMásViolencia. ,0.100000001,0.100000001
Expreso mi total repudio por el cobarde ataque al helicóptero en el que se transportaba el presidente de Colombia @IvanDuque y otros funcionarios de su Gobierno. ,0,0
#Guatemala rechaza todo acto de violencia y apuesta por la institucionalidad democrática. ,0,0
Nuestra solidaridad con el pueblo colombiano y su Presidente Iván Duque frente al ataque que sufrió el helicóptero en el que viajaba. ,0.400000006,0.400000006
México rechaza la violencia y respalda a las instituciones democráticas de Colombia. ,0.100000001,0.100000001
Es inadmisible —y así lo expresamos en #Ginebra ante la Alta Comisionada @mbachelet— que los bloqueos amenacen la vida de los colombianos y pongan en riesgo #MisionesMédicas. ,0,0
¡En Colombia se garantiza la protesta pacífica y hay cero tolerancia con casos de violaciones de #DDHH!. ,0,0
Agradezco a @LassoGuillermo 🇪🇨 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradecemos a @CancilleriaPeru 🇵🇪 su solidaridad y rechazo absoluto al cobarde atentado contra Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"Canciller @m_ebrard, muchas gracias por su solidaridad. ",0.899999976,0.899999976
🇨🇴 y 🇲🇽 tienen desafíos y anhelos comunes: 1. ,0.300000012,0.300000012
Defender a nuestros países del narcotráfico que con distintos ropajes y actores asedian a las democracias. ,0.100000001,0.100000001
Fortalecer estado de derecho y recuperar la económia. ,0.300000012,0.300000012
"El Gobierno del Perú condena enérgicamente el frustrado atentado dirigido contra el helicóptero que trasladaba al Presidente @IvanDuque y a sus Ministros, a quienes expresa su total solidaridad y respaldo. ",0.100000001,0.100000001
@CancilleriaCol @infopresidencia. ,0,0
Agradezco a @Colin_M_R 🇬🇧 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"El @GuatemalaGob manifiesta su solidaridad al Gobierno y Pueblo de #Colombia, y repudia el ataque al helicóptero del presidente @IvanDuque. ",0.300000012,0.300000012
Rechazamos todo acto que atente contra la institucionalidad democrática. ,0.100000001,0.100000001
Comunicado Oficial➡. ,0.200000003,0.200000003
"Con alivio recibimos la noticia que el #Presidente @IvanDuque, @DanielPalam, @Diego_Molano y demás miembros de la comitiva salieron ilesos del atentado en contra de su helicóptero. ",0.300000012,0.300000012
Rechazamos este ataque contra la institucionalidad y reiteramos que la violencia no es el camino. ,-0.100000001,0.100000001
El Gobierno del Ecuador rechaza de manera contundente el atentado contra el presidente de Colombia @IvanDuque. ,0,0
Nuestra solidaridad con el Estado y el pueblo colombiano. ,0.400000006,0.400000006
"El Gobierno de Chile expresa su enérgica condena ante el atentado perpetrado hoy en contra del Presidente de Colombia, @IvanDuque, y de los ministros del Interior y de Defensa de ese país. ",0,0
Agradecemos a @Minrel_Chile 🇨🇱 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.5,0.5
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
Agradezco a @DrGiammattei 🇬🇹 su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
"EEUU condena enérgicamente el cobarde ataque contra helicóptero en que viajaban el presidente @IvanDuque, @mindefensa, @MinInterior y gobernador de Nte. de Santander. ",-0.300000012,0.300000012
Nos complace que todos estén a salvo y felicitamos a los pilotos que llevaron la aeronave a un aterrizaje seguro. ,0.899999976,0.899999976
Nuestra solidaridad con el presidente @IvanDuque y con todo el pueblo de Colombia por el atentado terrorista en su contra. ,0.200000003,0.200000003
El auge de atentados en nuestro hermano país tiene relación con acceso a recursos y protección de la narcoguerrilla desde la dictadura en Venezuela. ,0.400000006,0.400000006
Agradezco a @CGRuizMassieu su solidaridad y rechazo absoluto al cobarde atentado contra el Presidente @IvanDuque y parte de nuestro gobierno. ,0.300000012,0.300000012
"¡No desfalleceremos ni un segundo en la lucha contra el terrorismo, narcotráfico y crimen organizado que amenazan nuestra democracia!. ",-0.300000012,0.300000012
